genus,hyb,species
Rosa,,abietina
Rosa,,abrica
Rosa,,abutalybovii
Rosa,,abyssinica
Rosa,,achburensis
Rosa,,acicularis
Rosa,,adenophylla
Rosa,,agrestis
Rosa,,alabukensis
Rosa,,alberti
Rosa,,alexeenkoi
Rosa,,altidaghestanica
Rosa,,amblyophylla
Rosa,,arabica
Rosa,,arensii
Rosa,,arkansana
Rosa,,arvensis
Rosa,,awarica
Rosa,,baiyushanensis
Rosa,,balcarica
Rosa,,balsamica
Rosa,,banksiae
Rosa,,banksiopsis
Rosa,,beauvaisii
Rosa,,beggeriana
Rosa,,bella
Rosa,,bellicosa
Rosa,,biebersteiniana
Rosa,,blanda
Rosa,,boissieri
Rosa,,bracteata
Rosa,,bridgesii
Rosa,,brotherorum
Rosa,,brunonii
Rosa,,bugensis
Rosa,,buschiana
Rosa,,caesia
Rosa,,calantha
Rosa,,calcarea
Rosa,,californica
Rosa,,calyptopoda
Rosa,,canina
Rosa,,carolina
Rosa,,caryophyllacea
Rosa,,caudata
Rosa,,chavinii
Rosa,,chengkouensis
Rosa,,chinensis
Rosa,,chionistrae
Rosa,,corymbifera
Rosa,,corymbulosa
Rosa,,coziae
Rosa,,cymosa
Rosa,,cziragensis
Rosa,,daishanensis
Rosa,,darginica
Rosa,,davidii
Rosa,,davurica
Rosa,,deqenensis
Rosa,,derongensis
Rosa,,deseglisei
Rosa,,diplodonta
Rosa,,dolichocarpa
Rosa,,doluchanovii
Rosa,,donetzica
Rosa,,dsharkenti
Rosa,,dubovikiae
Rosa,,duplicata
Rosa,,ecae
Rosa,,elymaitica
Rosa,,ermanica
Rosa,,facsarii
Rosa,,fargesiana
Rosa,,farreri
Rosa,,filipes
Rosa,,foetida
Rosa,,foliolosa
Rosa,,forrestiana
Rosa,,freitagii
Rosa,,fujisanensis
Rosa,,gadzhievii
Rosa,,gallica
Rosa,,galushkoi
Rosa,,gigantea
Rosa,,giraldii
Rosa,,glabrifolia
Rosa,,glandulososetosa
Rosa,,glauca
Rosa,,glomerata
Rosa,,gorenkensis
Rosa,,graciliflora
Rosa,,gracilipes
Rosa,,gymnocarpa
Rosa,,heckeliana
Rosa,,helenae
Rosa,,hemisphaerica
Rosa,,henryi
Rosa,,hezhangensis
Rosa,,hirtissima
Rosa,,hirtula
Rosa,,iberica
Rosa,,iliensis
Rosa,,iljinii
Rosa,,inodora
Rosa,,irinae
Rosa,,irysthonica
Rosa,,isaevii
Rosa,,jaroschenkoi
