Taxon,Habitat,Diet,weight (g),BMR
Tachyglossus aculeatus,Terrestrial,Invertebrates,3410,0.17
Ornithorhynchus anatinus,Aquatic,Invertebrates,690,0.31
Marmosa microtarsus,Arboreal,Invertebrates,14.5,1.79
Didelphis marsupialis,Terrestrial,Omnivorous,1350,0.45
Planigale gilesi,Terrestrial,Invertebrates,9.4,1.4
Planigale ingrami,Terrestrial,Invertebrates,7.1,1.59
Planigale maculatus,Terrestrial,Invertebrates,8.5,1.26
Antechinus macdonnellensis,Terrestrial,Invertebrates,43.1,0.63
Antechinus stuartii,Terrestrial,Invertebrates,37,0.99
Phascogale tapoatafa,Arboreal,Invertebrates,157.2,0.81
Dasycercus cristicauda,Terrestrial,Vertebrates,88.8,0.52
Dasyurus geoffroii,Terrestrial,Invertebrates,1000,0.38
Dasyurus hallacatus,Terrestrial,Invertebrates,584.4,0.51
Dasyurus maculatus,Terrestrial,Vertebrates,2000,0.3
Dasyurus viverrinus,Terrestrial,Invertebrates,1100,0.45
Sarcophilus harrissi,Terrestrial,Vertebrates,6700,0.28
Dasyuroides byrnei,Terrestrial,Invertebrates,89,0.87
Sminthopis crassicaudata,Terrestrial,Invertebrates,14,1.34
Antechinomys spenceri,Terrestrial,Invertebrates,24.2,0.98
Macrotis lagotis,Terrestrial,Grass,940,0.36
Perameles nasuta,Terrestrial,Invertebrates,686,0.47
Isoodon macrourus,Terrestrial,Invertebrates,880,0.45
Trichosurus vulpecula,Arboreal,Leaves,1982,0.32
Cercartetus nanus,Arboreal,Omnivorous,70,0.86
Petaurus breviceps,Arboreal,Omnivorous,128,0.69
Pseudocheirus peregrinus,Arboreal,Leaves,860,0.33
Lagorchestes conspicillatus,Terrestrial,Grass,2700,0.32
Macropus eugenii,Terrestrial,Grass,4796,29
Macropus rufus,Terrestrial,Grass,32490,0.18
Dendrolagus matshiei,Arboreal,Leaves,6960,0.21
Phascolarctos cinereus,Arboreal,Leaves,4765,0.22
Myrmecophaga tridactyla,Terrestrial,Invertebrates,30600,0.09
Tamandua mexicana,Terrestrial,Invertebrates,3500,0.26
Tamandua tetradactyla,Terrestrial,Invertebrates,3500,0.25
Cyclopes didactylus,Terrestrial,Invertebrates,240,0.48
Bradypus variagatus,Arboreal,Leaves,3790,18
Choloepus hoffmanni,Arboreal,Leaves,4250,0.19
Euphractus sexcinctus,Terrestrial,Invertebrates,8190,0.15
Zaedyus pichiy,Terrestrial,Invertebrates,1740,0.23
Priodontes maximus,Terrestrial,Invertebrates,45190,0.07
Cabassous centralis,Terrestrial,Invertebrates,3810,0.21
Tolypeutes matacus,Terrestrial,Invertebrates,1160,0.18
Dasypus novemcinctus,Terrestrial,Invertebrates,3320,0.24
Chaetophractus nationi,Terrestrial,Invertebrates,2150,0.26
Chaetophractus vellerosus,Terrestrial,Invertebrates,1110,0.28
Chaetophractus villosus,Terrestrial,Invertebrates,4540,0.18
Tenrec ecaudatus,Aquatic,Invertebrates,790,0.33
Setifer setosus,Terrestrial,Invertebrates,530,0.23
Amblysomus hottentotus,Terrestrial,Invertebrates,70,1.21
Erinaceus albiventris,Terrestrial,Invertebrates,450,0.33
Erinaceus europaeus,Terrestrial,Invertebrates,889,0.48
Hemiechinus auritus,Terrestrial,Invertebrates,400,0.38
Paraechinus aethiopus,Terrestrial,Invertebrates,450,0.25
Sorex araneus,Terrestrial,Invertebrates,8.9,9.08
Sorex caecutiens,Terrestrial,Invertebrates,4.9,11.67
Sorex cinereus,Terrestrial,Invertebrates,3,9
Sorex isodon,Terrestrial,Invertebrates,11.1,8.28
Sorex minutissimus,Terrestrial,Invertebrates,2.5,15.48
Sorex minutus,Terrestrial,Invertebrates,2.7,15
Neomys anomalus,Terrestrial,Invertebrates,13.4,4.98
Neomys fodiens,Terrestrial,Invertebrates,17.8,6.79
Blarina brevicauda,Terrestrial,Invertebrates,21,2.5
Notiosorex crawfordi,Terrestrial,Invertebrates,4,3.27
Crocidura russula,Terrestrial,Invertebrates,13.7,1.9
Scalopus aquaticus,Terrestrial,Invertebrates,48,1.41
Tupaia glis,Arboreal,Invertebrates,180,0.93
Urogale everetti,Arboreal,Invertebrates,252,0.86
Rousettus aegypticus,Arboreal,Fruit,146,0.84
Pteropus poliocephalus,Arboreal,Fruit,598,0.53
Pteropus scapulatus,Arboreal,Fruit,362,0.67
Dobsonia minor,Arboreal,Fruit,87,1.26
Cynopterus brachyotis,Arboreal,Fruit,37,1.27
Eonycteris spelaea,Arboreal,Pollen,52,0.93
Synconycteris australis,Arboreal,Pollen,17.5,1.93
Megaloglossus woermanni,Arboreal,Pollen,12.4,1.75
Macroderma gigas,Arboreal,Vertebrates,148,0.94
NoctiIio leporinus,Arboreal,Vertebrates,61,1.16
